created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Mon Dec 11 22:12:46 +0000 2023;1734335442483593689;"Gerakan Hamas dalam pernyataan persnya:  🔻 "Kami mengutuk keras pemerintahan Presiden AS Joe Biden karena menggagalkan rancangan resolusi di Dewan Keamanan PBB, yang menuntut penghentian segera agresi terhadap Gaza." https://t.co/yILI9NgyJq";0;1;0;0;in;1634147148081270784;1734335442483593689;GazaMedianet7;https://twitter.com/GazaMedianet7/status/1734335442483593689
Mon Dec 11 22:12:45 +0000 2023;1734335439367287169;"@peaceprojeck @AINULYAKIN63709 @bntrlagi @Greschinov Isriwil punya idf trus Palestina apa harus ikut idf juga atau diganti idp ,konyol kau ,jelas karena tidak adanya militer untuk pertahanan harus ada donk yang  mempertahankan negara, kamu tau fatah aja yg dominan kejalur politik perdamaian skrang bersatu dgn hamas";0;0;0;0;in;1509112410229346308;1734300378278305936;rauf_widi;https://twitter.com/rauf_widi/status/1734335439367287169
Mon Dec 11 22:12:43 +0000 2023;1734335428159828329;"@dorra_nawal @amnesty Ask hamas.";0;0;0;0;in;1439896948207767554;1734144267176542510;AgirreManex;https://twitter.com/AgirreManex/status/1734335428159828329
Mon Dec 11 22:11:59 +0000 2023;1734335244776722484;"Ringkasan jalannya perang di Gaza 10-11 Desember 2023:  1. Masuknya Israel ke Gaza melalui tiga arah: di utara lewat Jabaliya, lalu lewat Shija'iyah dan Khan Younis. Ketiga batalion Hamas di sana berhasil menahan masuknya Israel sejak dimulainya perang babak kedua dan Israel…";0;0;0;0;in;1339895843042705408;1734335244776722484;Lembayungsyahdu;https://twitter.com/Lembayungsyahdu/status/1734335244776722484
Mon Dec 11 22:11:42 +0000 2023;1734335174979244215;"Jinajis sirahell klaim nemu roket-roket Hamas. Pengamat segera melihat kejanggalan. Roket-roket Hamas sebesar itu, minimal dibawa oleh 8 orang. Tapi oleh jinajis sirahell bisa dibawa 2 atau 3 orang. Sirahellnya yang kuat2 atau roketnya yang KW ?";0;0;0;0;in;249568344;1734335174979244215;LiliNurAulia;https://twitter.com/LiliNurAulia/status/1734335174979244215
Mon Dec 11 22:09:31 +0000 2023;1734334622438142397;"@LenaArkad Hamas";0;0;0;0;in;1505880248373633025;1734296995290853776;GaggenauA;https://twitter.com/GaggenauA/status/1734334622438142397
Mon Dec 11 22:09:23 +0000 2023;1734334589169229911;"@UNRWA Hamas.";0;0;0;1;in;1569355644;1734240038165090770;dean2065;https://twitter.com/dean2065/status/1734334589169229911
Mon Dec 11 22:08:11 +0000 2023;1734334289192308826;"@PrepperCanadian @Shadows653 HAMAS.";0;0;0;0;in;1557955983741054977;1734325667989164242;jimmylives306;https://twitter.com/jimmylives306/status/1734334289192308826
Mon Dec 11 22:07:40 +0000 2023;1734334157894070352;"@FelixKimLZ @abdulah_Alzaben @YosephHaddad This fake. Ini bukan hamas";0;0;0;0;in;1535454880130666497;1734288952033444247;DellaMaryana24;https://twitter.com/DellaMaryana24/status/1734334157894070352
Mon Dec 11 22:07:38 +0000 2023;1734334151250116995;"Sacudiga wuu dilaya hadi hamas ee tagan saudia wa yaab";0;0;0;0;in;3018711775;1734334151250116995;Qaalid_mohamed_;https://twitter.com/Qaalid_mohamed_/status/1734334151250116995
Mon Dec 11 22:07:24 +0000 2023;1734334092425195872;"Hari ini, diperingati sebagai lahirnya Hamas pada 1987, dan video ini diterbitkan untuk merayakannya.   Hamas, lahir karena keberingasan Israel dan memang jadi "senjata" terkuat rakyat Palestina untuk melawan kezaliman.  #Hamas #AlQassam #Palestine #FreePalestine https://t.co/NWjVqdKorV";0;0;0;0;in;1517329311044280320;1734334092425195872;nnny94;https://twitter.com/nnny94/status/1734334092425195872
Mon Dec 11 22:04:23 +0000 2023;1734333331612004744;""Memperingati hari lahirnya Hamas, kami kabarkan pada orang-orang Yahudi, bahwa perayaan kami ialah dengan meledakkan tank-tank mereka"   Allahuakbar! . #FreePalestine https://t.co/38BnkZQg3J";0;0;0;0;in;1114303057;1734333331612004744;dwilibra_02;https://twitter.com/dwilibra_02/status/1734333331612004744
Mon Dec 11 22:03:58 +0000 2023;1734333227081564229;"@SoftWarNews Gua dukung Hizbullah buat menghancurkan israhell, hamas trs hajar pasukan pampers jangan kasih ampun, yaman blokir kapal israhell, pasukan julid serang mental dan tetep boikot israhell akan hancur";0;0;0;0;in;1064718350868074496;1733970572483441017;YSakhrul;https://twitter.com/YSakhrul/status/1734333227081564229
Mon Dec 11 22:03:40 +0000 2023;1734333150208172203;"@AzzatAlsaalem Hamas/ISIS";0;0;0;0;in;1588475381354561536;1734163721750970644;ETIGU312;https://twitter.com/ETIGU312/status/1734333150208172203
Mon Dec 11 22:03:38 +0000 2023;1734333143212052705;"@ricardope @vansscampos1 OMS= HAMAS.";0;0;0;0;in;1711881874941833217;1734067651435974929;hidjs8363;https://twitter.com/hidjs8363/status/1734333143212052705
Mon Dec 11 22:03:28 +0000 2023;1734333101575377215;"Masjid di Jabaliya Palestina , yang digunakan sebagai markas Hamas";0;0;0;0;in;1054263794;1734333101575377215;Hadimiter;https://twitter.com/Hadimiter/status/1734333101575377215
Mon Dec 11 22:03:19 +0000 2023;1734333063524425788;"@ricardope @Richardfleups OMS = HAMAS.";0;0;0;0;in;1711881874941833217;1734067651435974929;hidjs8363;https://twitter.com/hidjs8363/status/1734333063524425788
Mon Dec 11 22:02:54 +0000 2023;1734332960172921040;"Sa ae lu @netanyahu. Mosok pasukan elit udah aki² begitu?  Pakar Israel Ledek Militer Zionis, Sebut Gambar Menyerahnya Pasukan Elite Hamas Palsu https://t.co/LaRf56z60G";0;1;0;0;in;49413313;1734332960172921040;anomtea;https://twitter.com/anomtea/status/1734332960172921040
Mon Dec 11 22:00:10 +0000 2023;1734332271379775660;"@khuramabbasi987 @ShaykhSulaiman Hamas";0;0;0;0;in;166448166;1734190456475717840;luisofmex;https://twitter.com/luisofmex/status/1734332271379775660
Mon Dec 11 22:00:07 +0000 2023;1734332258092306819;"@JoopSoesan @angelique2311 Hamas &amp  Jerry..";0;0;0;0;in;1413070630669492227;1732738228606702049;edgarthefinch;https://twitter.com/edgarthefinch/status/1734332258092306819
Mon Dec 11 21:59:29 +0000 2023;1734332101477179546;"Waduhhh tank nya disikat miring sm hamas,masuki.apa ga thremor ituu idf sm mamarika nontonnya🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🔻🇵🇸🔻🔻🔻🔻🔻";0;0;0;0;in;207309578;1734332101477179546;teguhdiono;https://twitter.com/teguhdiono/status/1734332101477179546
Mon Dec 11 21:59:14 +0000 2023;1734332034817085704;"ini mah double kill, triple kill, ampe monster kill gasih 😔  #Hamas #AlQassam #FreePalestine https://t.co/9WsrAGTQgW";0;0;0;0;in;1517329311044280320;1734332034817085704;nnny94;https://twitter.com/nnny94/status/1734332034817085704
Mon Dec 11 21:58:39 +0000 2023;1734331889995981158;"@mtracey Hamas is Russia.";0;0;0;0;in;37253998;1734208283668279395;meunbothered;https://twitter.com/meunbothered/status/1734331889995981158
Mon Dec 11 21:58:29 +0000 2023;1734331846438384094;"🛒 https://t.co/2zU8WCCtYb  Raffi ahmad hybe blackpink in your area junkook bangtan hamas home alone muhammad jungkook bem ugm hate you kebangun npwp ibu atikoh baekhyun pak sugeng we are one scbd namjoon adiba zara bem ugm ot7 see you in 2025 https://t.co/HE89rkfwa7";0;0;0;0;in;1694114440365658112;1734331846438384094;ppf1701;https://twitter.com/ppf1701/status/1734331846438384094
Mon Dec 11 21:56:57 +0000 2023;1734331461166060029;"@ShaykhSulaiman By hamas";0;0;0;0;in;1532984928769560576;1734120841204613165;LeeMore50043993;https://twitter.com/LeeMore50043993/status/1734331461166060029
Mon Dec 11 21:55:11 +0000 2023;1734331016381350204;"@jacksonhinklle Hehehehehe ! 'UCKING HAMAS F@GG○T. https://t.co/lRGJuwBmez";0;0;0;0;in;830165688;1734265813442482523;huntleynorman;https://twitter.com/huntleynorman/status/1734331016381350204
Mon Dec 11 21:55:07 +0000 2023;1734331002624024771;"@JudahLion88 Biasa kelakuan BANI HAMAS Al-Indonesie 🇮🇩 +62 dan Bani NKRI Price Die yg selalu merusak nama bangsa dan negara.";0;0;0;1;in;26279886;1734309089495421087;d3vilicious;https://twitter.com/d3vilicious/status/1734331002624024771
Mon Dec 11 21:54:24 +0000 2023;1734330818296983891;"@Greschinov kayanya hamas ga gendut gitu deh badannya, fix banget israel itu mah. maaf bgt body shaming 😭";0;0;0;0;in;84375106;1734142812181192797;rherenuris;https://twitter.com/rherenuris/status/1734330818296983891
Mon Dec 11 21:54:02 +0000 2023;1734330729264447790;"@darth_pocong @Tita83079013 @JT_7667 Begini dong klu perang...gentlemen. Tentara kok lawan nya gedung,anak2 Dan wanita...mmmm Bisa nya ngebom doang tp ga tepat sasaran...hahah.lawan hamas dong...Masa sipil mulu yg kena...🤣🤣🤣🤣 https://t.co/1sHpz5h3rA";0;0;0;0;in;1678069938702143488;1733859364057104731;YamZonnes1805;https://twitter.com/YamZonnes1805/status/1734330729264447790
Mon Dec 11 21:53:27 +0000 2023;1734330580530282724;"@DrLoupis HAMAS.";0;0;0;0;in;1433962884199960579;1733261888962666801;IRawihte;https://twitter.com/IRawihte/status/1734330580530282724
Mon Dec 11 21:52:43 +0000 2023;1734330398342349269;"Hamas 😎😎😎";0;0;0;0;in;1136162498;1734330398342349269;idarina_69;https://twitter.com/idarina_69/status/1734330398342349269
Mon Dec 11 21:52:42 +0000 2023;1734330390792589529;"@ShaykhSulaiman HAMAS 😢 https://t.co/HHag1i7cqc";0;0;0;0;in;1712218310631358464;1734287885778493601;noaheretz;https://twitter.com/noaheretz/status/1734330390792589529
Mon Dec 11 21:52:33 +0000 2023;1734330356034072809;"@2023_orwell @JoopSoesan Dat lijkt me Hamas-propaganda.";0;0;0;0;in;1295007436420644864;1734122760530452946;uit_dam;https://twitter.com/uit_dam/status/1734330356034072809
Mon Dec 11 21:52:03 +0000 2023;1734330227046937056;"@Tita83079013 Ini mah hoaks, cuma drama doank Hamas gak mungkin cuma di tangkap kalo ketemu juga pasti di berondong sama peluru tentara zionist laknatullah, sama aja kayak propaganda film "rambo" Seakan2 Amerika menang padahal sebenernya nangis2 sisa tentara Amerika ketika pulang kampung";0;0;0;1;in;1028395848;1734073191923085321;helmi_fazli;https://twitter.com/helmi_fazli/status/1734330227046937056
Mon Dec 11 21:50:09 +0000 2023;1734329751530303853;"MasyaAllah... Hamas yang masih kecil tapi nyalinya luar biasa besarnya!   Doa umat Islam menyertaimu, ananda!  Bisa jadi masa mu nanti adalah menjadi tentaranya Imam Mahdi!";0;0;0;0;in;816537287311773696;1734329751530303853;melinda71717;https://twitter.com/melinda71717/status/1734329751530303853
Mon Dec 11 21:50:04 +0000 2023;1734329731145957511;"Gw kl hbs subuhan liat akun bang amj apalagi yg tank nya disikat miring sm babang hamas,langsung thremor nontonnya🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🔻🔻🔻🔻❤️❤️";0;0;0;0;in;207309578;1734329731145957511;teguhdiono;https://twitter.com/teguhdiono/status/1734329731145957511
Mon Dec 11 21:49:05 +0000 2023;1734329484076351987;"Perdana Menteri Israel Benjamin Netanyahu meminta para pejuang Hamas untuk segera menyerah. Pemimpin Zionis itu meyakini pertempuran di Jalur Gaza sud... https://t.co/racEIfWssE";0;0;0;0;in;46693036;1734329484076351987;inilahdotcom;https://twitter.com/inilahdotcom/status/1734329484076351987
Mon Dec 11 21:48:47 +0000 2023;1734329406728937668;"@RFI_Ha Allah ubangiji yaqara tarwatsa wadannan sojojin na yahudu da nasara Allah ubangiji yabawa hamas damar karar dasu baki dayansu ameen ya Rabbi 🙏";0;0;0;0;in;1484575685691809799;1734301323716354252;EsmailAugie;https://twitter.com/EsmailAugie/status/1734329406728937668
Mon Dec 11 21:48:17 +0000 2023;1734329279129763963;"@IngrameThomas @HumzaYousaf Hamas";0;0;0;0;in;1503075998560133123;1734231285722136901;Harkyj1944;https://twitter.com/Harkyj1944/status/1734329279129763963
Mon Dec 11 21:48:03 +0000 2023;1734329221931991252;"@s_afreen7 Bahana Hamas nisana 👇.  Hijde ise kehte https://t.co/nBns5EmkCu";0;0;0;0;in;1636463963742281759;1734143677654876257;ahmad57919;https://twitter.com/ahmad57919/status/1734329221931991252
Mon Dec 11 21:47:23 +0000 2023;1734329052704489891;"@McFaul Hamas ???";0;0;0;0;in;1588862271010344960;1734302357134115135;BrianMc96304759;https://twitter.com/BrianMc96304759/status/1734329052704489891
Mon Dec 11 21:47:08 +0000 2023;1734328993065967784;"@YosephHaddad Itulah perbedaannya. HAMAS tdk peduli dgn warga sipil baik anak2, perempuan &amp  kaum lansia, mrk hanya menghendaki anggotanya mrk saja yg diselamatkan.";0;0;0;0;in;1302717909714653184;1734173056128463166;wintampoli;https://twitter.com/wintampoli/status/1734328993065967784
Mon Dec 11 21:45:05 +0000 2023;1734328475224519106;"kalau putri mu di perkosa oleh kelompok HAMAS selama berbulan bulan SUDAH BISA DIPASTIKAN ANAKMU ITU HAMIL....JANGAN TERLALU BANYAK PROPAGANDA...";0;0;0;0;in;1452399886649806853;1734328475224519106;rifaibhantian;https://twitter.com/rifaibhantian/status/1734328475224519106
Mon Dec 11 21:44:27 +0000 2023;1734328318025945531;"@REVMAXXING Hamas";0;0;0;0;in;1687205872739532801;1734168353214771226;HurwitzGor63577;https://twitter.com/HurwitzGor63577/status/1734328318025945531
